tags: ἕρμαιον ἕρμαιον-5 vocabulaire

ἡ ἡμέρᾱ|le jour
πανοῦργος|rusé
ὁ ἴκτερος|la jaunisse
ὁ ὄμϐρος|la pluie
τὸ ἔριον|la laine

ἡ ὑπερηφαν<span class="desinence">ίᾱ</span>|l'orgueil
δρά-ω|je fais, j'agis
ἀνθρωπίνως|d'une manière digne d'un homme
εὔκολος|facile
ὡς εὐκόλως|combien facilement

ἡ μοιχεύ<span class="desinence">τριᾰ</span>|la femme adultère
ἡ ψάλ<span class="desinence">τριᾰ</span>|la joueuse de lyre
ἡ βασίλ<span class="desinence">ειᾰ</span>|la reine
ἡ ἱέρ<span class="desinence">ειᾰ</span>|la prêtresse
ἡ ἀλήθ<span class="desinence">ειᾰ</span>|la vérité
ἡ ἀκρίϐ<span class="desinence">ειᾰ</span>|l'exactitude
ἡ ἀναίδ<span class="desinence">ειᾰ</span>|l'impudence
ἡ ἀσέϐ<span class="desinence">ειᾰ</span>|l'impiété
ἡ ἀσφάλ<span class="desinence">ειᾰ</span>|la sécurité
ἡ εὔκλ<span class="desinence">ειᾰ</span>|la bonne renommée
ἡ ὑγί<span class="desinence">ειᾰ</span>|la santé
ἡ ἄν<span class="desinence">οιᾰ</span>|la folie
ἡ διάν<span class="desinence">οιᾰ</span>|l'intelligence
ἡ εὔν<span class="desinence">οιᾰ</span>|la bienveillance
ἡ ἄγν<span class="desinence">οιᾰ</span>|l'ignorance
ἡ εὔπλ<span class="desinence">οιᾰ</span>|la bonne navigation
ἡ ἄπλ<span class="desinence">οιᾰ</span>|l'impossibilité de naviguer
ἡ εὔπν<span class="desinence">οιᾰ</span>|la bonne respiration
ἡ μηλ<span class="desinence">έᾱ</span>|le pommier
ἡ μορ<span class="desinence">έᾱ</span>|le mûrier
ἡ πτελ<span class="desinence">έᾱ</span>|l'orme
ἡ σῡκ<span class="desinence">έᾱ</span> (σῡκῆ)|le figuier
ἡ αἰγ<span class="desinence">έᾱ</span>|la peau de chèvre
ἡ βο<span class="desinence">έᾱ</span>|la peau de bœuf
ἡ λεοντ<span class="desinence">έη</span> (λεοντῆ)|la peau de lion
ἡ ἀγγελ<span class="desinence">ίᾱ</span>|le message
ἡ μαν<span class="desinence">ίᾱ</span>|la folie
ἡ πεν<span class="desinence">ίᾱ</span>|la pauvreté
ἡ ἀδικ<span class="desinence">ίᾱ</span>|l'injustice
ἡ ἀνδραγαθ<span class="desinence">ίᾱ</span>|le courage, la loyauté
ἡ καλοκαγαθ<span class="desinence">ίᾱ</span>|la conduite vertueuse
ἡ τραγῳδ<span class="desinence">ίᾱ</span>|la tragédie
ἡ τρικυμ<span class="desinence">ίᾱ</span>|la tempête
ἡ αἱμασ<span class="desinence">ιά</span>|la haie
ἡ νεοσσ<span class="desinence">ιά</span>|la nichée
ἡ ὁρμ<span class="desinence">ιά</span>|la ligne à pêche
ἡ πρασ<span class="desinence">ιά</span>|la plate-bande
ἡ σκοπ<span class="desinence">ιά</span>|le sommet, le point culminant
ἡ στρατ<span class="desinence">ιά</span>|l'armée
ἡ ἀριστ<span class="desinence">είᾱ</span>|la vaillance
ἡ βασιλ<span class="desinence">είᾱ</span>|la royauté
ἡ γοητ<span class="desinence">είᾱ</span>|la sorcellerie
ἡ δουλ<span class="desinence">είᾱ</span>|l'esclavage
ἡ εἰρων<span class="desinence">είᾱ</span>|l'ironie
ἡ λῃστ<span class="desinence">είᾱ</span>|le brigandage
ἡ μαντ<span class="desinence">είᾱ</span>|la divination
ἡ νηστ<span class="desinence">είᾱ</span>|le jeûne
ἡ πολιτ<span class="desinence">είᾱ</span>|la constitution
ἡ πρεσϐ<span class="desinence">είᾱ</span>|l'ancienneté, l'ambassade
ἡ ἱππ<span class="desinence">ική</span>|l'équitation
ἡ μουσ<span class="desinence">ική</span>|la musique, la poésie
ἡ ῥητορ<span class="desinence">ική</span>|l'art oratoire
ἡ αὐ<span class="desinence">λή</span>|la cour
ἡ θη<span class="desinence">λή</span>|le sein
ἡ θυη<span class="desinence">λή</span>|la partie de la victime qu'on brûle
ἡ χη<span class="desinence">λή</span>|la serre
ἡ ἀπει<span class="desinence">λή</span>|la menace
ἡ ὀφει<span class="desinence">λή</span>|la dette
ἡ ὠτει<span class="desinence">λή</span>|la blessure
ἡ φῡ<span class="desinence">λή</span>|la tribu
ἡ εὐχω<span class="desinence">λή</span>|la prière
ἡ φειδω<span class="desinence">λή</span>|l'économie
ἡ ἀγκά<span class="desinence">λη</span>|la courbure du bras
ἡ φιά<span class="desinence">λη</span>|la coupe
ἡ ἀγέ<span class="desinence">λη</span>|le troupeau
ἡ θυμέ<span class="desinence">λη</span>|l'autel
ἡ νεφέ<span class="desinence">λη</span>|le nuage
ἡ κοτύ<span class="desinence">λη</span>|le creux, la coupe
ἡ ὀρχήσ<span class="desinence">τρᾱ</span>|l'orchestre
ἡ παλαίσ<span class="desinence">τρᾱ</span>|la palestre
ἡ φαρέ<span class="desinence">τρᾱ</span>|le carquois
