tags: ἕρμαιον ἕρμαιον-6 vocabulaire

δεινός <span class="cas">+inf</span>|habile à ...
<ul><li>πάντες οἱ ἀγροί</li><li>οἱ ἀγροὶ πάντες</li></ul>|tous les champs
πᾶς ὁ ἀγρός|tout le champ
πᾶς ἀγρός|tout champ

ὁ κόραξ, &#8209;ακος<br><span class="fr">[κορα<span class="desinence">κ</span>-]</span>|le corbeau
ἡ ἐλπίς, &#8209;ίδος<br><span class="fr">[ἐλπι<span class="desinence">δ</span>-]</span>|l'espoir
τὸ σῶμα, σώματος<br><span class="fr">[σωμα<span class="desinence">τ</span>-]</span>|le corps
ἡ φλέψ, φλεϐός<br><span class="fr">[φλε<span class="desinence">ϐ</span>-]</span>|la veine
ἡ πατρίς, &#8209;ίδος<br><span class="fr">[πατρι<span class="desinence">δ</span>-]</span>|la patrie, le pays
ὁ γείτων, &#8209;ονος<br><span class="fr">[γειτ<span class="desinence">ον</span>-]</span>|le voisin
ἡ γείτ<span class="desinence">αινᾰ</span>|la voisine
ὁ ποιμήν, &#8209;ένος<br><span class="fr">[ποιμ<span class="desinence">εν</span>-]</span>|le berger
ὁ ἀγών, ἀγῶνος<br><span class="fr">[ἀγ<span class="desinence">ων</span>-]</span>|la lutte, le concours
τὸ ποίημα, ποιήματος<br><span class="fr">[ποιημα<span class="desinence">τ</span>-]</span>|la chose créée, le poème
εὐδαίμων, &#8209;ονος<br><span class="fr">[εὐδαιμ<span class="desinence">ον</span>-]</span>|heureux<br>[adj. 2<sup>ème</sup> cl.]
<table><tr><td>πᾶς</td><td>παντός<td></tr><tr><td>πᾶν</td><td>παντός<td></tr><tr><td>πᾶσᾰ</td><td>πάσης<td></tr></table>|tout<br>[adj. 3<sup>ème</sup> cl.]
<table><tr><td>ἅπας</td><td>ἅπαντος</td></tr><tr><td>ἅπαν</td><td>ἅπαντος</td></tr><tr><td>ἅπασᾰ</td><td>ἁπάσης</td></tr></table>|en totalité, tout entier<br>[adj. 3<sup>ème</sup> cl.]
<table><tr><td>μέλας</td><td>μέλανος</td></tr><tr><td>μέλαν</td><td>μέλανος</td></tr><tr><td>μέλαινᾰ</td><td>μελαίνης</td></tr></table>|noir<br>[adj. 3<sup>ème</sup> cl.]

τὸ ὕδωρ, ὕδατος<br><span class="fr">[ὑδα<span class="desinence">τ</span>-]</span>|l'eau
ὁ τέττιξ, &#8209;ιγος<br><span class="fr">[τεττι<span class="desinence">γ</span>-]</span>|la cigale
τὸ πρᾶγμα, πράγματος<br><span class="fr">[πραγμα<span class="desinence">τ</span>-]</span>|la chose, l'affaire
τὸ πνεῦμα, πνεύματος<br><span class="fr">[πνευμα<span class="desinence">τ</span>-]</span>|le souffle
ἡ χελιδών, &#8209;όνος<br><span class="fr">[χελιδ<span class="desinence">ον</span>-]</span>|l'hirondelle
ἡ ἀλώπηξ, &#8209;εκος<br><span class="fr">[ἀλωπ<span class="desinence">εκ</span>-]</span>|le renard
ὁ λιμήν, &#8209;ένος<br><span class="fr">[λιμ<span class="desinence">εν</span>-]</span>|le port
τὸ φρόνημα, φρονήματος<br><span class="fr">[φρονημα<span class="desinence">τ</span>-]</span>|la pensée, le sentiment
ὁ Αἰθίοψ, &#8209;οπος<br><span class="fr">[Αἰθιο<span class="desinence">π</span>-]</span>|l'Éthiopien

ἡ φλόξ, φλογός<br><span class="fr">[φλο<span class="desinence">γ</span>-]</span>|la flamme
ὁ γύψ, γυπός<br><span class="fr">[γῡ<span class="desinence">π</span>-]</span>|le vautour
ὁ μήν, μηνός<br><span class="fr">[μ<span class="desinence">ην</span>-]</span>|le mois
ἡ ῥίς, ῥινός<br><span class="fr">[ῥῑ<span class="desinence">ν</span>-]</span>|le nez
ἡ Ἐλευσίς, &#8209;ῖνος<br><span class="fr">[Ἐλευσῑ<span class="desinence">ν</span>-]</span>|Eleusis
ἡ Σαλαμίς, &#8209;ῖνος<br><span class="fr">[Σαλαμῑ<span class="desinence">ν</span>-]</span>|Salamine
ἡ σάρξ, σαρκός<br><span class="fr">[σᾰρ<span class="desinence">κ</span>-]</span>|la chair
ἡ θρίξ, τριχός<br><span class="fr">[τρι<span class="desinence">χ</span>-]</span>|le cheveu
ἡ ἔρις, ἔριδος<br>(acc. ἔριν)<br><span class="fr">[ἐρι<span class="desinence">δ</span>-]</span>|la discorde
ἡ κόρυς, &#8209;υθος<br>(acc. κόρυν)<br><span class="fr">[κορυ<span class="desinence">θ</span>-]</span>|le casque
ἡ Ἄρτεμις, Ἀρτέμιδος<br>(acc. Ἄρτεμιν)<br><span class="fr">[Ἀρτεμι<span class="desinence">δ</span>-]</span>|Artémis
ἡ ὄρνις, &#8209;ιθος<br>(acc. ὄρνιν)<br><span class="fr">[ὀρνι<span class="desinence">θ</span>-]</span>|l'oiseau

τὸ γράμμα, &#8209;ατος<br><span class="fr">[γραμμα<span class="desinence">τ</span>-]</span>|la lettre (de l'alphabet)&nbsp;; au pluriel&nbsp;: les lettres, l'instruction
χρηματίζομαι|je fais des affaires
χαίρω|je me réjouis&nbsp;; je prends plaisir à, j'aime à être avec <span class="cas">+dat</span>
ἡ αἴξ, αἰγός<br><span class="fr">[αἰ<span class="desinence">γ</span>-]</span>|la chèvre
τὸ γάλα, &#8209;ακτος<br><span class="fr">[γαλακ<span class="desinence">τ</span>-]</span>|le lait
ἡ μάστιξ, &#8209;ιγος<br><span class="fr">[μαστῑ<span class="desinence">γ</span>-]</span>|le fouet
κολάζω|je châtie
ὁ ἡγεμών, &#8209;όνος<br><span class="fr">[ἡγεμ<span class="desinence">ον</span>-]</span>|le chef
τὸ σῆμα, σήματος<br><span class="fr">[σημα<span class="desinence">τ</span>-]</span>|le signal
ἡ σάλπιγξ, &#8209;ιγγος<br><span class="fr">[σαλπιγ<span class="desinence">γ</span>-]</span>|la trompette
ἐγείρω|j'éveille

ὁ θήρ, θηρός<br><span class="fr">[θη<span class="desinence">ρ</span>-]</span>|la bête sauvage
ὁ ῥήτωρ, &#8209;ορος<br><span class="fr">[ῥητ<span class="desinence">ορ</span>-]</span>|l'orateur
ὁ φύλαξ, &#8209;ακος<br><span class="fr">[φυλα<span class="desinence">κ</span>-]</span>|le garde, le gardien
ἡ λαμπάς, &#8209;άδος<br><span class="fr">[λαμπᾰ<span class="desinence">δ</span>-]</span>|la lampe
ἡ φροντίς, &#8209;ίδος<br><span class="fr">[φροντι<span class="desinence">δ</span>-]</span>|le souci
ἡ χάρις, &#8209;ιτος<br>(acc. χάριν)<br><span class="fr">[χαρι<span class="desinence">τ</span>-]</span>|la grâce, la bienveillance, la reconnaissance
ὁ δαίμων, &#8209;ονος<br><span class="fr">[δαιμ<span class="desinence">ον</span>-]</span>|la divinité
ὁ γίγᾱς, &#8209;αντos<br><span class="fr">[γιγα<span class="desinence">ντ</span>-]</span>|le géant
ὁ ὀδούς, ὀδόντος<br><span class="fr">[ὀδο<span class="desinence">ντ</span>-]</span>|la dent
ὁ πούς, ποδός<br><span class="fr">[πο<span class="desinence">δ</span>-]</span>|le pied
ἡ χείρ, χειρός<br><span class="fr">[χει<span class="desinence">ρ</span>-]</span>|la main
ὁ/ἡ βοῦς, βοός<br><span class="fr">[βο-]</span>|le bœuf, la vache
ἡ φρήν, φρενός<br><span class="fr">[φρ<span class="desinence">εν</span>-]</span>|la membrane&nbsp;; (poésie) le cœur, l'âme
ἡ δρῦς, δρυός<br><span class="fr">[δρυ-]</span>|le chêne
εἷς, ἑνός<br><span class="fr">[ἑν-]</span>|un
ὁ/ἡ οἶς, οἰός<br><span class="fr">[οἰ-]</span>|le bélier, la brebis
ἡ δᾴς, δᾳδός<br><span class="fr">[δᾳ<span class="desinence">δ</span>-]</span>|la torche, le flambeau
τὸ φρῆρ, φρητός<br><span class="fr">[φρη<span class="desinence">τ</span>-]</span>|le puits
ὁ/ἡ κύων, κυνός<br><span class="fr">[κυ<span class="desinence">ν</span>-]</span>|le chien, la chienne
ὁ ἀρήν, ἀρνός<br><span class="fr">[ἀρ<span class="desinence">ν</span>-]</span>|l'agneau

τὸ ἄγαλμα, ἀγάλματος<br><span class="fr">[ἀγαλμα<span class="desinence">τ</span>-]</span>|la statue
τὸ ῥῆμα, ῥήματος<br><span class="fr">[ῥημα<span class="desinence">τ</span>-]</span>|le mot, la phrase
τὸ ᾆσμα, ᾄσματος<br><span class="fr">[ᾀσμα<span class="desinence">τ</span>-]</span>|le chant
ἐπιστήμων|instruit, savant
ἡ καλ<span class="desinence">ιά</span>|la cabane, le nid
ἡ εὐδ<span class="desinence">ίᾱ</span>|le beau temps
τυφλός|aveugle
ὁ ἱστός|la quenouille
ἡ ἐκκλησ<span class="desinence">ίᾱ</span>|l'assemblée politique
τὸ πηδάλιον|le gouvernail
τὸ χρυσίον|le bijou
